KP_index,KP_textid,KP_textid2,KP_textid3,L1_index,L1_textid,L2_index,L2_textid,L3_index,L3_textid
55,2092,nad:m4.5,https://nad-m4-v1#/id/bdf1ddde113945a7a4bcae63a3f7e5a1,1,cse3,2,nad,14,https://nad-m4-v1
56,502,nad:m4.6,https://nad-m4-v1#/id/c4272f7b6b134a028c8bf2adf6058707,1,cse3,2,nad,14,https://nad-m4-v1
57,504,nad:m4.7,https://nad-m4-v1#/id/6ea4d09865e64bb8932caadc8a95b78c,1,cse3,2,nad,14,https://nad-m4-v1
58,506,nad:m5.1,https://nad-m5-v1#/id/59603ebff7f34abdaccc77923191e4b1,1,cse3,2,nad,15,https://nad-m5-v1
59,509,nad:m5.2,https://nad-m5-v1#/id/0526b291ace54131b34a36ffb3af55cd,1,cse3,2,nad,15,https://nad-m5-v1
60,510,nad:m6.1,https://nad-m6-v1#/id/fb38ff0aa70d4538838f5f12f9891931,1,cse3,2,nad,16,https://nad-m6-v1
61,511,nad:m6.2,https://nad-m6-v1#/id/715072eb97e8491a8dd8b25543ace7c0,1,cse3,2,nad,16,https://nad-m6-v1
62,512,nad:m6.3,https://nad-m6-v1#/id/2244935e336b42668794b2b492398648,1,cse3,2,nad,16,https://nad-m6-v1
63,2174,nad:m7.1,https://nad-m7-v1#/id/6effa71a71e74449b6973bc1cf9b6f51,1,cse3,2,nad,17,https://nad-m7-v1
64,2175,nad:m7.2,https://nad-m7-v1#/id/88b8e41175854b71b0e348d877dfec57,1,cse3,2,nad,17,https://nad-m7-v1
65,2177,nad:m7.3,https://nad-m7-v1#/id/503b373b0712464a8c95324a27e37968,1,cse3,2,nad,17,https://nad-m7-v1
66,2178,nad:m7.4,https://nad-m7-v1#/id/6afde03f433644cda2a08b86f7210516,1,cse3,2,nad,17,https://nad-m7-v1
67,2176,nad:m7.5,https://nad-m7-v1#/id/e15c3bfdc2034f838eb36be99db58e58,1,cse3,2,nad,17,https://nad-m7-v1
68,2180,nad:m7.6,https://nad-m7-v1#/id/1b928cbe7f614957bb4a02e2e3930fdd,1,cse3,2,nad,17,https://nad-m7-v1
69,2152,nad:m8.1,https://nad-m8-v1#/id/37fd8fdfcc864665905f00796fe95631,1,cse3,2,nad,18,https://nad-m8-v1
70,2160,nad:m8.2,https://nad-m8-v1#/id/4740ab4fb5b748c3b71cb3e954e4257b,1,cse3,2,nad,18,https://nad-m8-v1
