question_index,question_textid,KP_index,deltaMeanZShiftCorrect,deltaMeanZShiftIncorrect,centerValue,iqta,weights_1,weights_2,weights_3,weights_4,inTestBank
238,284487,84,0.0304585535147794,-0.111341537430999,0.850620745815764,0,0.398382035784908,-0.0877481137170496,-0.0461182118237295,0.022999149256107,1
239,284488,84,0.0491218254030342,-0.10131397153145,0.488071183554718,0,0.477919535784909,-0.288489922921774,0.10747480773575,0.0311741786036802,1
240,284489,84,0.0682496067445865,-0.189898360979693,0.688795716619556,0,0.553922035784909,-0.178880240778134,0.0215740810540301,0.167768206374091,1
241,284491,84,-0.00723221424107762,0.0177657502697429,0.44385470628891,0,0.445919239348171,-0.341733230722982,-0.14071564287736,0.0264161153754493,1
242,284495,86,0.0612042106107253,-0.258657719588647,0.981782889061244,0,0.702392035784908,-0.0836385287688722,0.118446037638741,0.00980099845272595,1
243,284515,35,0.0678648395126319,-0.170314340842611,0.588283084082338,0,0.358234535784908,0.147183159153762,0.0978031608420308,-0.152462991489276,1
244,284516,35,0.0451143255376692,-0.220245439327187,1.00417933881981,0,0.44542618861694,0.116932047729678,0.0950447212627599,-0.161429147511654,1
245,284517,35,0.0531347170671987,-0.234726494156941,0.964069092128953,0,0.523306410784908,0.0353111244533754,0.0922862816834889,-0.0739587553524888,1
246,284518,35,0.0360002490073833,-0.527814432684801,1.60323910493489,0,0.444810473284908,0.477319816657351,0.101940820210937,-0.0815135530558445,1
247,284519,36,0.0773094612780986,-0.197883438795339,0.633601441133639,0,0.551902035784908,-0.0597230274732283,0.184004397694249,-0.0743364952376565,1
248,284524,85,0.0272198285366122,-0.105302143630258,0.906153058766025,0,0.440297035784908,-0.198021976493145,-0.153435296992497,0.195295841075289,1
249,284530,2,0.0252986848809651,-0.207779515815875,1.27880629156138,0,0.363158285784908,0.149466261902749,-0.145392078627289,0.0240647448485513,1
250,284532,4,0.00781430365309615,-0.0125483470890963,0.513637162513077,0,0.398382035784908,-0.184922674470829,-0.070634055967203,-0.0613421134592822,1
251,284533,2,0.0350996897233177,-0.0780764842819651,0.542490754922121,0,0.400402035784908,-0.0283053932383334,-0.149529737996195,0.0240647448485513,1
252,284545,47,0.0164058519913449,-0.0305623853268033,0.61412706057335,0,0.532585785784908,-0.0546716626410935,-0.223607993974855,-0.0701813565008109,1
253,284546,47,0.0310761511334267,-0.294438248206667,1.37087935119388,0.002,0.463716410784908,0.136909196783318,-0.0692548361775675,0.0301794092397049,1
254,284547,97,0.0686324816647207,-0.28981154292292,0.927238702659559,0,0.515415785784908,0.0838413272615405,-0.132632092035896,0.233602718546041,1
255,284549,70,0.0268374490889857,-0.0669984926297086,0.765137611038742,0,0.615895004534908,-0.214988283796558,-0.0115049862260514,-0.074908155726842,1
256,284550,47,0.0495636368380426,-0.290742172126159,1.12748216190806,0,0.542243910784908,0.147500420514496,0.00229615801651509,-0.0354828678015952,1
257,284554,97,-0.00549667420295436,0.0139978037604259,0.322811663668161,0,0.495089535784908,-0.0813554260198847,-0.14988529469003,-0.219823416125157,1
258,284555,97,-0.0356881751065065,0.031556980113222,-0.0644797767298375,0,0.649683092192603,-0.488781410774594,-0.0550064188771066,-0.136999672727795,1
259,284570,72,0.0367288221811247,-0.166128741262228,0.985744909624961,0,0.474132035784908,0.0444435354493253,0.00464117411399631,-0.111368288193026,1
260,284573,49,0.0357355180149125,-0.0567689423910524,0.336314813455865,0,0.490986410784908,-0.281412304399912,0.103545644800147,-0.0775433093552764,1
261,284579,96,0.0218792727991896,-0.0479151798918515,0.493367279006055,0,0.185650785784908,0.0409903425414818,0.010249691717624,-0.110207107558237,1
262,284580,96,0.0959561897908995,-0.197511645346016,0.467108219782514,0,0.379018442034909,0.0298316778558055,0.239561094845503,-0.0764087290724506,1
